Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
a_star,74,9.263782000000003,65.0,8.551183384615387,0.016466856002807617
dijkstra,1981,4.143770999999999,40.0,6.215656499999999,0.034394264221191406
a_star,730,4.351573999999999,40.0,6.527360999999999,0.02372121810913086
dijkstra,685,1.3685169999999998,40.0,2.0527754999999996,0.022167682647705078
a_star,93,1.3685169999999998,40.0,2.0527754999999996,0.018008947372436523
dijkstra,1805,6.368474,43.793103448275865,8.725310834645668,0.0329287052154541
a_star,950,6.162936999999998,42.758620689655174,8.647992241935482,0.02596879005432129
dijkstra,1542,3.7083870000000005,41.702127659574465,5.335536397959185,0.030505895614624023
a_star,606,3.542867000000001,40.74074074074074,5.217676854545457,0.022441387176513672
dijkstra,383,1.8800070000000002,43.0,2.623265581395349,0.019370555877685547
a_star,89,1.783687,40.90909090909091,2.6160742666666668,0.01605391502380371
dijkstra,2592,4.942613000000001,46.15384615384615,6.425396900000001,0.04064202308654785
a_star,322,5.818128,40.0,8.727192,0.0199735164642334
dijkstra,1146,3.2248560000000004,58.125,3.328883612903226,0.024998188018798828
a_star,452,3.0347959999999996,41.46341463414634,4.391528329411764,0.020214080810546875
dijkstra,798,5.051821,46.0,6.589331739130436,0.02453446388244629
a_star,308,5.115666000000001,40.0,7.673499000000001,0.018654346466064453
dijkstra,2098,3.8371840000000015,40.0,5.755776000000002,0.0361175537109375
a_star,448,3.8371840000000015,40.0,5.755776000000002,0.019919633865356445
dijkstra,1518,5.9129059999999996,40.0,8.869359,0.029287099838256836
a_star,490,6.05228,40.0,9.07842,0.022312641143798828
dijkstra,2415,6.366359,47.605633802816904,8.023872585798816,0.04039883613586426
a_star,774,5.6739880000000005,40.51948051948052,8.401866846153847,0.024829864501953125
dijkstra,2519,3.7641170000000015,40.75471698113208,5.541616694444446,0.03998255729675293
a_star,637,3.738428000000001,40.37735849056604,5.555234130841123,0.022696256637573242
dijkstra,1273,3.156089,58.23529411764706,3.251728060606061,0.027632951736450195
a_star,183,3.156089,58.23529411764706,3.251728060606061,0.018419742584228516
dijkstra,3821,8.543174,47.55813953488372,10.778185290953546,0.055910587310791016
a_star,2107,8.543174,47.55813953488372,10.778185290953546,0.038488149642944336
dijkstra,2042,4.530996999999999,41.132075471698116,6.609435990825687,0.034934043884277344
a_star,627,4.434677,40.36363636363637,6.5920874324324314,0.02399754524230957
dijkstra,3738,8.101757999999998,41.607142857142854,11.68322183690987,0.05335664749145508
a_star,1679,8.000491999999998,40.54054054054054,11.840728159999996,0.03455352783203125
